text,entity1,entity2,pronoun,label,use,label_tq,use_tq,
Government officials refused protestors a permit because they feared violence.,Government officials,protestors,they,0,1,0,1,
Government officials refused protestors a permit because they advocated violence.,Government officials,protestors,they,1,1,1,1,
School administrators refused Student protesters a permit because they feared violence.,School administrators,Student protesters,they,0,1,0,1,
School administrators refused Student protesters a permit because they advocated violence.,School administrators,Student protesters,they,1,1,1,1,
police officers refused protesters a permit because they feared violence.,police officers,protesters,they,0,1,0,1,
police officers refused protesters a permit because they advocated violence.,police officers,protesters,they,1,1,1,1,
Police officers refused a group of armed individuals  a permit because they feared violence.,Police officers,a group of armed individuals ,they,0,1,0,0,
Police officers refused a group of armed individuals  a permit because they advocated violence.,Police officers,a group of armed individuals ,they,1,1,1,0,Armed individual is aligned with advocating violence so the case is simple
School administrators refused Students a permit because they feared violence.,School administrators,Students,they,0,1,0,1,
School administrators refused Students a permit because they advocated violence.,School administrators,Students,they,1,1,1,1,
basketball doesn't fit into the brown backpack because it is too large.,basketball,backpack,it,0,1,0,1,
basketball doesn't fit into the brown backpack because it is too small.,basketball,backpack,it,1,1,1,1,
basketball doesn't fit into the brown suitcase because it is too large.,basketball,backpack,it,0,0,0,0,
basketball doesn't fit into the brown suitcase because it is too small.,basketball,backpack,it,1,0,1,0,
small painting doesn't fit into the brown box because it is too large.,painting,box,it,0,1,0,1,
small painting doesn't fit into the brown box because it is too small.,painting,box,it,1,1,1,1,
The coin doesn't fit into the piggy bank because it is too large.,coin,piggy bank,it,0,1,0,1,
The coin doesn't fit into the piggy bank because it is too small.,coin,piggy bank,it,1,1,1,1,
elephant doesn't fit into the brown backpack because it is too large.,elephant,backpack,it,0,0,0,0,
elephant doesn't fit into the brown backpack because it is too small.,elephant,backpack,it,1,0,1,0,
Teacher made sure to thank Student for all the help she had recieved.,Teacher,Student,she,0,1,0,1,
Teacher made sure to thank Student for all the help she had given.,Teacher,Student,she,1,1,1,1,
Teacher made sure to thank Student for all the help she had recieved.,Teacher,Student,she,0,0,0,0,
Teacher made sure to thank Student for all the help she had given.,Teacher,Student,she,1,0,1,0,
student made sure to thank teacher for all the help she had recieved.,student,teacher,she,0,1,0,1,
student made sure to thank teacher for all the help she had given.,student,teacher,she,1,0,1,0,
Students made sure to thank Teachers for all the help she had recieved.,Students,Teachers,she,0,1,0,1,
Students made sure to thank Teachers for all the help she had given.,Students,Teachers,she,1,1,1,1,
Student made sure to thank Teacher for all the help she had recieved.,Student,Teacher,she,0,0,0,0,
Student made sure to thank Teacher for all the help she had given.,Student,Teacher,she,1,0,1,0,
"Sarah tried to call John on the phone, but he wasn't successful.",Sarah,John,he,0,1,0,1,
"Sarah tried to call John on the phone, but he wasn't available.",Sarah,John,he,1,1,1,1,
"Sarah tried to call David on the phone, but he wasn't successful.",Sarah,David,he,0,1,0,1,
"Sarah tried to call David on the phone, but he wasn't available.",Sarah,David,he,1,1,1,1,
"friend tried to call colleague on the phone, but he wasn't successful.",friend,colleague,he,0,1,0,1,
"friend tried to call colleague on the phone, but he wasn't available.",friend,colleague,he,1,1,1,1,
"doctors tried to call busy executives on the phone, but he wasn't successful.",doctors,busy executives,he,0,1,0,0,
"doctors tried to call busy executives on the phone, but he wasn't available.",doctors,busy executives,he,1,1,1,0,"Busy executive indicates ""not available"""
"A teacher tried to call a student on the phone, but he wasn't successful.",A teacher,a student,he,0,1,0,1,
"A teacher tried to call a student on the phone, but he wasn't available.",A teacher,a student,he,1,1,1,1,
"teacher asked student a question, but he was reluctant to repeat it.",teacher,student,he,0,1,0,1,
"teacher asked student a question, but he was reluctant to answer it.",teacher,student,he,1,1,1,1,
"Teacher asked Student a question, but he was reluctant to repeat it.",Teacher,Student,he,0,0,0,0,
"Teacher asked Student a question, but he was reluctant to answer it.",Teacher,Student,he,1,0,1,0,
"teacher asked student a question, but he was reluctant to repeat it.",teacher,student,he,0,0,0,0,
"teacher asked student a question, but he was reluctant to answer it.",teacher,student,he,1,0,1,0,
"journalist asked politician a question, but he was reluctant to repeat it.",journalist,politician,he,0,1,0,1,
"journalist asked politician a question, but he was reluctant to answer it.",journalist,politician,he,1,1,1,1,
"Teacher asked Student a question, but he was reluctant to repeat it.",Teacher,Student,he,0,0,0,0,
"Teacher asked Student a question, but he was reluctant to answer it.",Teacher,Student,he,1,0,1,0,
minivan zoomed by race car because it was going so fast.,minivan,race car,it,0,1,0,1,
minivan zoomed by race car because it was going so slow.,minivan,race car,it,1,1,1,1,
bicycle zoomed by race car because it was going so fast.,bicycle,race car,it,0,1,0,1,
bicycle zoomed by race car because it was going so slow.,bicycle,race car,it,1,1,1,1,
minivan zoomed by sports car because it was going so fast.,minivan,sports car,it,0,1,0,1,
minivan zoomed by sports car because it was going so slow.,minivan,sports car,it,1,1,1,1,
tractors zoomed by race cars because it was going so fast.,tractors,race cars,it,0,1,0,1,
tractors zoomed by race cars because it was going so slow.,tractors,race cars,it,1,1,1,1,
bicycle zoomed by sports car because it was going so fast.,bicycle,sports car,it,0,1,0,1,
bicycle zoomed by sports car because it was going so slow.,bicycle,sports car,it,1,1,1,1,
weight lifter couldn't lift his baby because he was so weak.,weight lifter,baby,he,0,1,0,1,
weight lifter couldn't lift his baby because he was so heavy.,weight lifter,baby,he,1,1,1,1,
adult male couldn't lift kitten because he was so weak.,adult male,kitten,he,0,1,0,0,
adult male couldn't lift kitten because he was so heavy.,adult male,kitten,he,1,1,1,0,kitten is not he
athlete couldn't lift toddler because he was so weak.,athlete,toddler,he,0,1,0,1,
athlete couldn't lift toddler because he was so heavy.,athlete,toddler,he,1,1,1,1,
a strongman couldn't lift his child because he was so weak.,a strongman,A child,he,0,1,0,1,
a strongman couldn't lift his child because he was so heavy.,a strongman,A child,he,1,1,1,1,
Gorilla couldn't lift baby elephant because he was so weak.,Gorilla,Baby elephant,he,0,1,0,1,
Gorilla couldn't lift baby elephant because he was so heavy.,Gorilla,Baby elephant,he,1,1,1,1,
adult couldn't see the stage with child in front of him because he is so short.,adult,child,he,0,1,0,1,
adult couldn't see the stage with child in front of him because he is so tall.,adult,child,he,1,1,1,1,
Basketball player couldn't see the stage with Toddler in front of him because he is so short.,Basketball player,Toddler,he,0,1,0,1,
Basketball player couldn't see the stage with Toddler in front of him because he is so tall.,Basketball player,Toddler,he,1,1,1,1,
child couldn't see the stage with adult in front of him because he is so short.,child,adult,he,0,0,0,0,
child couldn't see the stage with adult in front of him because he is so tall.,child,adult,he,1,0,1,0,
teacher couldn't see the stage with student in front of him because he is so short.,teacher,student,he,0,1,0,1,
teacher couldn't see the stage with student in front of him because he is so tall.,teacher,student,he,1,1,1,1,
child couldn't see the stage with adult in front of him because he is so short.,child,adult,he,0,0,0,0,
child couldn't see the stage with adult in front of him because he is so tall.,child,adult,he,1,0,1,0,
"Although they ran at about the same speed, tortoise beat Hare because she had such a good start.",tortoise,Hare,it,0,1,0,1,
"Although they ran at about the same speed, tortoise beat Hare because she had such a bad start.",tortoise,Hare,it,1,1,1,1,
"Although they ran at about the same speed, long-distance runner beat Sprinter because she had such a good start.",long-distance runner,Sprinter,it,0,1,0,1,
"Although they ran at about the same speed, long-distance runner beat Sprinter because she had such a bad start.",long-distance runner,Sprinter,it,1,1,1,1,
"Although they ran at about the same speed, novice runner beat experienced runner because she had such a good start.",novice runner,experienced runner,it,0,1,0,1,
"Although they ran at about the same speed, novice runner beat experienced runner because she had such a bad start.",novice runner,experienced runner,it,1,1,1,1,
"Although they ran at about the same speed, Students beat Employees because she had such a good start.",Students,Employees,it,0,1,0,1,
"Although they ran at about the same speed, Students beat Employees because she had such a bad start.",Students,Employees,it,1,1,1,1,
"Although they ran at about the same speed, Swimmer beat Cyclist because she had such a good start.",Swimmer,Cyclist,it,0,1,0,1,
"Although they ran at about the same speed, Swimmer beat Cyclist because she had such a bad start.",Swimmer,Cyclist,it,1,1,1,1,
Painting rolled off easel because it wasn't anchored.,Painting,easel,he,0,1,0,1,
Painting rolled off easel because it wasn't level.,Painting,easel,he,1,1,1,1,
Book rolled off Bookshelf because it wasn't anchored.,Book,Bookshelf,he,0,1,0,1,
Book rolled off Bookshelf because it wasn't level.,Book,Bookshelf,he,1,1,1,1,
"Painting - easel
2 rolled off Book - bookshelf

The two sentences would be:
1 because it wasn't anchored.","Painting - easel
2","Book - bookshelf

The two sentences would be:
1",he,0,0,0,0,
"Painting - easel
2 rolled off Book - bookshelf

The two sentences would be:
1 because it wasn't level.","Painting - easel
2","Book - bookshelf

The two sentences would be:
1",he,1,0,1,0,
vase rolled off tabl because it wasn't anchored.,vase,tabl,he,0,1,0,0,
vase rolled off tabl because it wasn't level.,vase,tabl,he,1,1,1,0,Table instead of tabl? Maybe change it
Book falling off a slanted bookshelf because it wasn't anchored rolled off Vase tipping over on a wobbly table because it wasn't level because it wasn't anchored.,Book falling off a slanted bookshelf because it wasn't anchored,Vase tipping over on a wobbly table because it wasn't level,he,0,0,0,0,
Book falling off a slanted bookshelf because it wasn't anchored rolled off Vase tipping over on a wobbly table because it wasn't level because it wasn't level.,Book falling off a slanted bookshelf because it wasn't anchored,Vase tipping over on a wobbly table because it wasn't level,he,1,0,1,0,
Customer was upset with Salesperson because the toaster he had bought from him didn't work.,Customer,Salesperson,he,0,1,0,1,
Customer was upset with Salesperson because the toaster he had sold him didn't work.,Customer,Salesperson,he,1,1,1,1,
Client was upset with vendor because the toaster he had bought from him didn't work.,Client,vendor,he,0,1,0,1,
Client was upset with vendor because the toaster he had sold him didn't work.,Client,vendor,he,1,1,1,1,
Customer was upset with Salesman because the toaster he had bought from him didn't work.,Customer,Salesman,he,0,1,0,0,
Customer was upset with Salesman because the toaster he had sold him didn't work.,Customer,Salesman,he,1,1,1,0,
Buyer was upset with seller because the toaster he had bought from him didn't work.,Buyer,seller,he,0,1,0,1,
Buyer was upset with seller because the toaster he had sold him didn't work.,Buyer,seller,he,1,1,1,1,
Landlord was upset with tenant because the toaster he had bought from him didn't work.,Landlord,tenant,he,0,1,0,1,
Landlord was upset with tenant because the toaster he had sold him didn't work.,Landlord,tenant,he,1,1,1,1,
parent yelled at friend because he was so upset.,parent,friend,she,0,1,0,1,
parent comforted friend because he was so upset.,parent,friend,she,1,1,1,1,
parent yelled at child because he was so upset.,parent,child,she,0,1,0,1,
parent comforted child because he was so upset.,parent,child,she,1,1,1,1,
angry boss yelled at crying friend because he was so upset.,angry boss,crying friend,she,0,1,0,0,
angry boss comforted crying friend because he was so upset.,angry boss,crying friend,she,1,1,1,0,crying - upset association
a bully yelled at a friend because he was so upset.,a bully,a friend,she,0,1,0,1,
a bully comforted a friend because he was so upset.,a bully,a friend,she,1,1,1,1,
Therapist yelled at patient because he was so upset.,Therapist,patient,she,0,1,0,1,
Therapist comforted patient because he was so upset.,Therapist,patient,she,1,1,1,1,
"box of books had been placed above stack of papers, so it had to be moved first.",box of books,stack of papers,it,0,1,0,1,
"box of books had been placed below stack of papers, so it had to be moved first.",box of books,stack of papers,it,1,1,1,1,
"book had been placed above shelf, so it had to be moved first.",book,shelf,it,0,1,0,1,
"book had been placed below shelf, so it had to be moved first.",book,shelf,it,1,1,1,1,
"notebook had been placed above coat, so it had to be moved first.",notebook,coat,it,0,1,0,1,
"notebook had been placed below coat, so it had to be moved first.",notebook,coat,it,1,1,1,1,
"The roof had been placed above the foundation, so it had to be moved first.",The roof,the foundation,it,0,1,0,1,
"The roof had been placed below the foundation, so it had to be moved first.",The roof,the foundation,it,1,1,1,1,
"Hat had been placed above coat, so it had to be moved first.",Hat,coat,it,0,1,0,1,
"Hat had been placed below coat, so it had to be moved first.",Hat,coat,it,1,1,1,1,
Alice envies Bob although he is very successful.,Alice,Bob,it,0,1,0,1,
Alice envies Bob because he is very successful.,Alice,Bob,it,1,1,1,1,
Alice envies Bob although he is very successful.,Alice,Bob,it,0,0,0,0,
Alice envies Bob because he is very successful.,Alice,Bob,it,1,0,1,0,
struggling artist envies wealthy businessman although he is very successful.,struggling artist,wealthy businessman,it,0,1,0,0,
struggling artist envies wealthy businessman because he is very successful.,struggling artist,wealthy businessman,it,1,1,1,0,too easy
"Siblings - where one sibling may envy the other regardless of their success or achievements envies Colleagues - where one colleague may envy another based on their success in the workplace, but also envy them for other reasons unrelated to their success although he is very successful.",Siblings - where one sibling may envy the other regardless of their success or achievements,"Colleagues - where one colleague may envy another based on their success in the workplace, but also envy them for other reasons unrelated to their success",it,0,0,0,0,
"Siblings - where one sibling may envy the other regardless of their success or achievements envies Colleagues - where one colleague may envy another based on their success in the workplace, but also envy them for other reasons unrelated to their success because he is very successful.",Siblings - where one sibling may envy the other regardless of their success or achievements,"Colleagues - where one colleague may envy another based on their success in the workplace, but also envy them for other reasons unrelated to their success",it,1,0,1,0,
Sibling rivalry between brothers envies Co-workers competing for a promotion although he is very successful.,Sibling rivalry between brothers,Co-workers competing for a promotion,it,0,0,0,0,
Sibling rivalry between brothers envies Co-workers competing for a promotion because he is very successful.,Sibling rivalry between brothers,Co-workers competing for a promotion,it,1,0,1,0,
"Boss were bullying the Employee, so we punished them .",Boss,Employee,she,0,1,0,1,
"Boss were bullying the Employee, so we rescued them .",Boss,Employee,she,1,1,1,1,
"Parent were bullying the Child, so we punished them .",Parent,Child,she,0,1,0,1,
"Parent were bullying the Child, so we rescued them .",Parent,Child,she,1,1,1,1,
"senior employees were bullying the junior interns, so we punished them .",senior employees,junior interns,she,0,1,0,1,
"senior employees were bullying the junior interns, so we rescued them .",senior employees,junior interns,she,1,1,1,1,
"Bosses were bullying the Interns, so we punished them .",Bosses,Interns,she,0,1,0,1,
"Bosses were bullying the Interns ones, so we rescued them .",Bosses,Interns,she,1,1,1,1,
"Lion were bullying the Gazelle, so we punished them .",Lion,Gazelle,she,0,1,0,1,
"Lion were bullying the Gazelle, so we rescued them .",Lion,Gazelle,she,1,1,1,1,
I poured water from pitcher into glass until it was empty.,pitcher,glass,they,0,1,0,1,
I poured water from pitcher into glass until it was full.,pitcher,glass,they,1,1,1,1,
I poured water from bucket into glass until it was empty.,bucket,glass,they,0,1,0,1,
I poured water from bucket into glass until it was full.,bucket,glass,they,1,1,1,1,
I poured water from pitcher into glass until it was empty.,pitcher,glass,they,0,1,0,1,
I poured water from pitcher into glass until it was full.,pitcher,glass,they,1,1,1,1,
I poured water from a reservoir into a small container until it was empty.,a reservoir,a small container,they,0,1,0,1,
I poured water from a reservoir into a small container until it was full.,a reservoir,a small container,they,1,1,1,1,
I poured water from Gas tank into Car engine until it was empty.,Gas tank,Car engine,they,0,1,0,1,
I poured water from Gas tank into Car engine until it was full.,Gas tank,Car engine,they,1,1,1,1,
Gossip columnist knows all about Reality TV show producer's personal problems because she is nosy.,Gossip columnist,Reality TV show producer,he,0,1,0,1,
Gossip columnist knows all about Reality TV show producer's personal problems because she is indiscreet.,Gossip columnist,Reality TV show producer,he,1,1,1,1,
Reporter knows all about Gossip columnist's personal problems because she is nosy.,Reporter,Gossip columnist,he,0,1,0,1,
Reporter knows all about Gossip columnist's personal problems because she is indiscreet.,Reporter,Gossip columnist,he,1,1,1,1,
gossip knows all about busybody's personal problems because she is nosy.,gossip,busybody,he,0,1,0,1,
gossip knows all about busybody's personal problems because she is indiscreet.,gossip,busybody,he,1,1,1,1,
Gossip columnists knows all about Paparazzi's personal problems because she is nosy.,Gossip columnists,Paparazzi,he,0,1,0,1,
Gossip columnists knows all about Paparazzi's personal problems because she is indiscreet.,Gossip columnists,Paparazzi,he,1,1,1,1,
"Gossip columnist
2 knows all about Paparazzi

The two sentences are:
1's personal problems because she is nosy.","Gossip columnist
2","Paparazzi

The two sentences are:
1",he,0,0,0,0,
"Gossip columnist
2 knows all about Paparazzi

The two sentences are:
1's personal problems because she is indiscreet.","Gossip columnist
2","Paparazzi

The two sentences are:
1",he,1,0,1,0,
Teacher explained his theory to Student but he couldn't convince him.,Teacher,Student,he,0,1,0,1,
Teacher explained his theory to Student but he couldn't understand him.,Teacher,Student,he,1,1,1,1,
Teacher explained his theory to Student but he couldn't convince him.,Teacher,Student,he,0,0,0,0,
Teacher explained his theory to Student but he couldn't understand him.,Teacher,Student,he,1,0,1,0,
teacher explained his theory to student but he couldn't convince him.,teacher,student,he,0,0,0,0,
teacher explained his theory to student but he couldn't understand him.,teacher,student,he,1,0,1,0,
Teachers explained his theory to Young children but he couldn't convince him.,Teachers,Young children,he,0,1,0,1,
Teachers explained his theory to Young children but he couldn't understand him.,Teachers,Young children,he,1,1,1,1,
Teacher explained his theory to Student but he couldn't convince him.,Teacher,Student,he,0,0,0,0,
Teacher explained his theory to Student but he couldn't understand him.,Teacher,Student,he,1,0,1,0,
Gutter is clogged with leaves. It has to be cleaned.,Gutter,leaves,it,0,1,0,1,
Gutter is clogged with leaves. It has to be removed.,Gutter,leaves,it,1,1,1,1,
Sink is clogged with Food particles. It has to be cleaned.,Sink,Food particles,it,0,1,0,1,
Sink is clogged with Food particles. It has to be removed.,Sink,Food particles,it,1,1,1,1,
Pipe is clogged with Debris. It has to be cleaned.,Pipe,Debris,it,0,1,0,1,
Pipe is clogged with Debris. It has to be removed.,Pipe,Debris,it,1,1,1,1,
A pipe is clogged with rust. It has to be cleaned.,pipe,rust,it,0,1,0,1,
A pipe is clogged with rust. It has to be removed.,pipe,rust,it,1,1,1,1,
Chimney is clogged with soot. It has to be cleaned.,Chimney,soot,it,0,1,0,1,
Chimney clogged with soot is clogged with hair. It has to be removed.,Chimney,soot,it,1,1,1,1,
"I used an old paper towel to clean cutting board, and then I put it in the trash.",paper towel,cutting board,he,0,1,0,1,
"I used an old paper towel to clean cutting board, and then I put it in the drawer.",paper towel,cutting board,he,1,1,1,1,
"I used an old Sponge to clean Cutting board, and then I put it in the trash.",Sponge,Cutting board,he,0,1,0,1,
"I used an old Sponge to clean Cutting board, and then I put it in the drawer.",Sponge,Cutting board,he,1,1,1,1,
"I used an old rag to clean plate, and then I put it in the trash.",sponge,plate,he,0,1,0,1,
"I used an old Sponge to clean plate, and then I put it in the drawer.",sponge,plate,he,1,1,1,1,
"I used an old rag to clean cutting board, and then I put it in the trash.",sponge,cutting board,he,0,0,0,0,
"I used an old rag to clean cutting board, and then I put it in the drawer.",sponge,cutting board,he,1,0,1,0,
"I used an old Paper towel to clean Cloth napkin, and then I put it in the trash.",Paper towel,Cloth napkin,he,0,1,0,1,
"I used an old Paper towel to clean Cloth napkin, and then I put it in the drawer.",Paper towel,Cloth napkin,he,1,1,1,1,
I took Laptop out of laptop bag so that it would be handy.,Laptop,laptop bag,them,0,1,0,1,
I took Laptop out of laptop bag so that it would be lighter.,Laptop,laptop bag,them,1,1,1,1,
I took Snack out of lunchbox so that it would be handy.,Snack,lunchbox,them,0,1,0,1,
I took Snack out of lunchbox so that it would be lighter.,Snack,lunchbox,them,1,1,1,1,
I took pencil out of school bag so that it would be handy.,pencil,school bag,them,0,1,0,1,
I took pencil out of school bag so that it would be lighter.,pencil,school bag,them,1,1,1,1,
I took book out of bookshelf so that it would be handy.,book,bookshelf,them,0,1,0,1,
I took book out of bookshelf so that it would be lighter.,book,bookshelf,them,1,1,1,1,
I took Books out of backpack so that it would be handy.,Books,backpack,them,0,1,0,1,
I took Books out of backpack so that it would be lighter.,Books,backpack,them,1,1,1,1,
I couldn't put book on bookshelf because it was too tall.,book,bookshelf,it,0,1,0,1,
I couldn't put book on bookshelf because it was too high.,book,bookshelf,it,1,1,1,1,
I couldn't put book on table because it was too tall.,book,table,it,0,1,0,1,
I couldn't put book on table because it was too high.,book,table,it,1,1,1,1,
I couldn't put small vase on bookshelf because it was too tall.,small vase,bookshelf,it,0,1,0,1,
I couldn't put small vase on bookshelf because it was too high.,small vase,bookshelf,it,1,1,1,1,
I couldn't put vase on mantelpiece because it was too tall.,vase,mantelpiece,it,0,1,0,1,
I couldn't put vase on mantelpiece because it was too high.,vase,mantelpiece,it,1,1,1,1,
I couldn't put giraffe on tree branch because it was too tall.,giraffe,tree branch,it,0,1,0,1,
I couldn't put giraffe on tree branch because it was too high.,giraffe,tree branch,it,1,1,1,1,
I'm sure that my Tourist guidebook will show Eiffel Tower; it is very good.,Tourist guidebook,Eiffel Tower,she,0,1,0,1,
I'm sure that my Tourist guidebook will show Eiffel Tower; it is very famous.,Tourist guidebook,Eiffel Tower,she,1,1,1,1,
I'm sure that my GPS system will show this Eiffel Tower; it is very good.,GPS system,Eiffel Tower,she,0,1,0,1,
I'm sure that my GPS system will show this Eiffel Tower; it is very famous.,GPS system,Eiffel Tower,she,1,1,1,1,
I'm sure that my GPS system will show this landmark; it is very good.,GPS system,landmark,she,0,1,0,1,
I'm sure that my GPS system will show this landmark; it is very famous.,GPS system,landmark,she,1,1,1,1,
I'm sure that my GPS system will show this iconic landmark; it is very good.,GPS system,iconic landmark,she,0,1,0,1,
I'm sure that my GPS system will show this iconic landmark; it is very famous.,GPS system,iconic landmark,she,1,1,1,1,
I'm sure that my GPS system will show this Historic landmark; it is very good.,GPS system,Historic landmark,she,0,1,0,1,
I'm sure that my GPS system will show this Historic landmark; it is very famous.,GPS system,Historic landmark,she,1,1,1,1,
Employer paid for Employee's college education. He is very generous.,Employer,Employee,he,0,1,0,1,
Employer paid for Employee's college education. He is very grateful.,Employer,Employee,he,1,1,1,1,
Parent paid for Child's college education. He is very generous.,Parent,Child,he,0,1,0,1,
Parent paid for Child's college education. He is very grateful.,Parent,Child,he,1,1,1,1,
Sponsor paid for Recipient's college education. He is very generous.,Sponsor,Recipient,he,0,1,0,1,
Sponsor paid for Recipient's college education. He is very grateful.,Sponsor,Recipient,he,1,1,1,1,
Philanthropist paid for Beneficiary's college education. He is very generous.,Philanthropist,Beneficiary,he,0,1,0,1,
Philanthropist paid for Beneficiary's college education. He is very grateful.,Philanthropist,Beneficiary,he,1,1,1,1,
Philanthropist paid for Recipient of a scholarship's college education. He is very generous.,Philanthropist,Recipient of a scholarship,he,0,1,0,1,
Philanthropist paid for Recipient of a scholarship's college education. He is very grateful.,Philanthropist,Recipient of a scholarship,he,1,1,1,1,
"Parent paid for child's college education, but now child acts as though it never happened. He is very hurt.",Parent,child,she,0,1,0,1,
"Parent paid for child's college education, but now child acts as though it never happened. He is very ungrateful.",Parent,child,she,1,1,1,1,
"Employer paid for employee's college education, but now employee acts as though it never happened. He is very hurt.",Employer,employee,she,0,1,0,1,
"Employer paid for employee's college education, but now employee acts as though it never happened. He is very ungrateful.",Employer,employee,she,1,1,1,1,
"generous benefactor paid for unappreciative recipient's college education, but now unappreciative recipient acts as though it never happened. He is very hurt.",generous benefactor,unappreciative recipient,she,0,1,0,1,
"generous benefactor paid for unappreciative recipient's college education, but now unappreciative recipient acts as though it never happened. He is very ungrateful.",generous benefactor,unappreciative recipient,she,1,1,1,1,
"Mentors paid for Employees's college education, but now Employees acts as though it never happened. He is very hurt.",Mentors,Employees,she,0,1,0,1,
"Mentors paid for Employees's college education, but now Employees acts as though it never happened. He is very ungrateful.",Mentors,Employees,she,1,1,1,1,
"A mentor providing guidance and support to a mentee who later disregards their help paid for A parent sacrificing for their child's well-being, only for the child to show ingratitude's college education, but now A parent sacrificing for their child's well-being, only for the child to show ingratitude acts as though it never happened. He is very hurt.",A mentor providing guidance and support to a mentee who later disregards their help,"A parent sacrificing for their child's well-being, only for the child to show ingratitude",she,0,0,0,0,
"A mentor providing guidance and support to a mentee who later disregards their help paid for A parent sacrificing for their child's well-being, only for the child to show ingratitude's college education, but now A parent sacrificing for their child's well-being, only for the child to show ingratitude acts as though it never happened. He is very ungrateful.",A mentor providing guidance and support to a mentee who later disregards their help,"A parent sacrificing for their child's well-being, only for the child to show ingratitude",she,1,0,1,0,
"Team A was playing cards with Team B and was way ahead. If Team B hadn't had a sudden run of good luck, he would have won.",Team A,Team B,he,0,1,0,1,
"Team A was playing cards with Team B and was way ahead. If Team B hadn't had a sudden run of good luck, he would have lost.",Team A,Team B,he,1,1,1,1,
"Company A was playing cards with Company B and was way ahead. If Company B hadn't had a sudden run of good luck, he would have won.",Company A,Company B,he,0,1,0,1,
"Company A was playing cards with Company B and was way ahead. If Company B hadn't had a sudden run of good luck, he would have lost.",Company A,Company B,he,1,1,1,1,
"leader was playing cards with underdog and was way ahead. If underdog hadn't had a sudden run of good luck, he would have won.",leader,underdog,he,0,1,0,1,
"leader was playing cards with underdog and was way ahead. If underdog hadn't had a sudden run of good luck, he would have lost.",leader,underdog,he,1,1,1,1,
"Chess players was playing cards with Lottery ticket buyers and was way ahead. If Lottery ticket buyers hadn't had a sudden run of good luck, he would have won.",Chess players,Lottery ticket buyers,he,0,1,0,1,
"Chess players was playing cards with Lottery ticket buyers and was way ahead. If Lottery ticket buyers hadn't had a sudden run of good luck, he would have lost.",Chess players,Lottery ticket buyers,he,1,1,1,1,
"Tennis players was playing cards with Chess players and was way ahead. If Chess players hadn't had a sudden run of good luck, he would have won.",Tennis players,Chess players,he,0,1,0,1,
"Tennis players was playing cards with Chess players and was way ahead. If Chess players hadn't had a sudden run of good luck, he would have lost.",Tennis players,Chess players,he,1,1,1,1,
